Hour,2019 kwh
662,4765452.0
663,4654573.0
664,4546935.0
665,4502690.0
666,4644856.0
667,4773157.0
668,4693504.0
669,4549866.0
670,4383326.0
671,4158474.0
672,4006359.0
673,3879046.0
674,3799632.0
675,3781075.0
676,3786259.0
677,3860093.0
678,4080296.0
679,4353854.0
680,4579549.0
681,4629114.0
682,4686848.0
683,4724802.0
684,4744105.0
685,4745117.0
686,4724733.0
687,4688184.0
688,4632052.0
689,4631944.0
690,4760755.0
691,4968035.0
692,4931212.0
693,4837759.0
694,4650064.0
695,4428170.0
696,4237206.0
697,4124169.0
698,4051812.0
699,4019169.0
700,4008190.0
701,4033292.0
702,4215107.0
703,4443991.0
704,4653272.0
705,4738263.0
706,4798929.0
707,4843677.0
708,4852296.0
709,4847790.0
710,4851854.0
711,4809630.0
712,4746130.0
713,4792294.0
714,4871919.0
715,5019532.0
716,5015503.0
717,4924232.0
718,4743092.0
719,4488885.0
720,4256654.0
721,4143206.0
722,4109186.0
723,4049245.0
724,4028267.0
725,4109504.0
726,4295335.0
727,4529615.0
728,4765790.0
729,4844363.0
730,4883849.0
731,4881137.0
732,4839309.0
733,4836318.0
734,4782730.0
735,4737229.0
736,4682662.0
737,4690540.0
738,4769315.0
739,4950462.0
740,4988673.0
741,4893235.0
742,4751118.0
743,4520722.0
744,4295163.0
745,4163189.0
746,4090733.0
747,4039587.0
748,4020711.0
749,4077631.0
750,4260004.0
751,4521443.0
752,4767145.0
753,4792782.0
754,4820271.0
755,4794116.0
756,4682396.0
757,4593693.0
758,4505274.0
759,4419342.0
760,4339176.0
761,4312666.0
762,4395083.0
763,4629262.0
764,4611764.0
765,4551652.0
766,4431074.0
767,4219851.0
768,3993018.0
769,3829149.0
770,3735931.0
771,3670572.0
772,3654914.0
773,3663955.0
774,3716482.0
775,3839578.0
776,3979559.0
777,4043911.0
778,4061942.0
779,4042712.0
780,4012288.0
781,3955690.0
782,3894178.0
783,3869898.0
784,3807424.0
785,3817775.0
786,3941999.0
787,4104202.0
788,4058298.0
789,3955432.0
790,3840412.0
791,3665169.0
792,3478977.0
793,3296525.0
794,3218076.0
795,3141272.0
796,3120328.0
797,3117456.0
798,3173694.0
799,3271104.0
800,3407403.0
801,3466231.0
802,3548221.0
