Hour,DTE 2019 kWh,CE 2019 kWh,CE+DTE 2019 kWh,Zone 7 Overall 2019 kWh
5413,7161898.39,5220166.0,12382064.39,14108282.486690605
5414,7492016.05,5339161.0,12831177.05,14620007.193981443
5415,7767232.81,5382353.0,13149585.809999999,14982806.206393689
5416,7878094.06,5381959.0,13260053.059999999,15108674.003510505
5417,7871668.07,5340209.0,13211877.07,15053781.6645121
5418,7809609.02,5231498.0,13041107.02,14859204.086025909
5419,7474743.5,5017672.0,12492415.5,14234017.952406421
5420,7141843.58,4902740.0,12044583.58,13723752.536647504
5421,6790386.07,4866003.0,11656389.07,13281438.748384088
5422,6559300.279999999,4621538.0,11180838.28,12739590.09772553
5423,6079163.96,4268890.0,10348053.96,11790704.995291773
5424,5606926.09,3987197.0,9594123.09,10931666.522031466
5425,5276456.7,3801339.0,9077795.7,10343356.491951281
5426,4961049.43,3662804.0,8623853.43,9826128.865273628
5427,4760330.38,3574041.0,8334371.38,9496289.316100819
5428,4673347.17,3586887.0,8260234.17,9411816.431086602
5429,4709922.07,3690315.0,8400237.07,9571337.525464945
5430,4930796.5200000005,3933101.0,8863897.52,10099638.17069411
5431,5242938.42,4129378.0,9372316.42,10678937.16614801
5432,5513023.329999999,4282190.0,9795213.329999998,11160791.312686538
5433,5771853.5600000005,4424063.0,10195916.56,11617357.696458137
5434,6083758.05,4508084.0,10591842.05,12068480.262184141
5435,6437434.82,4587207.0,11024641.82,12561617.854027558
5436,6737404.51,4688394.0,11425798.51,13018700.915921226
5437,6997581.77,4722896.0,11720477.77,13354462.232621094
5438,7269270.31,4801010.0,12070280.309999999,13753031.719375465
5439,7400438.979999999,4841563.0,12242001.979999999,13948693.585857349
5440,7481810.42,4789634.0,12271444.42,13982240.678453065
5441,7342020.64,4739949.0,12081969.64,13766350.691440687
5442,7257020.61,4666511.0,11923531.61,13585824.374223338
5443,7091833.17,4577169.0,11669002.17,13295810.275798902
5444,6742312.7700000005,4552036.0,11294348.77,12868925.40141011
5445,6509859.23,4541035.0,11050894.23,12591530.18565261
5446,6338785.71,4320782.0,10659567.71,12145647.74514839
5447,5929410.16,4014576.0,9943986.16,11330304.977441791
5448,5490577.19,3792342.0,9282919.190000001,10577076.819226682
5449,5175658.46,3609236.0,8784894.46,10009621.073973702
5450,4948096.5600000005,3473597.0,8421693.56,9595785.324519949
5451,4746049.83,3415024.0,8161073.83,9298831.87179727
5452,4631264.32,3420291.0,8051555.32,9174045.081167324
5453,4635920.7,3517763.0,8153683.7,9290411.46318289
5454,4865573.89,3745412.0,8610985.89,9811467.42566947
5455,5248805.859999999,3954497.0,9203302.86,10486360.954826819
5456,5410102.51,4117386.0,9527488.51,10855742.229570085
5457,5687681.34,4287133.0,9974814.34,11365430.999911986
5458,6014589.5,4479404.0,10493993.5,11956990.373193743
5459,6311534.52,4591965.0,10903499.52,12423586.768446406
5460,6508732.739999999,4701380.0,11210112.739999998,12772945.791761402
5461,6763546.79,4816258.0,11579804.79,13194177.640522912
5462,7064245.59,4959743.0,12023988.59,13700286.341707893
5463,7301743.7,5049608.0,12351351.7,14073288.055003097
5464,7521440.44,5072422.0,12593862.440000001,14349607.892972896
5465,7684838.91,5073748.0,12758586.91,14537297.060306517
5466,7619982.49,4973217.0,12593199.49,14348852.519266222
5467,7425328.609999999,4855948.0,12281276.61,13993443.601456344
5468,7105605.05,4789235.0,11894840.05,13553132.843900597
5469,6795482.83,4830677.0,11626159.83,13246995.165808117
5470,6626211.83,4599496.0,11225707.83,12790715.036710821
5471,6215499.07,4254794.0,10470293.07,11929985.800211059
5472,5783407.140000001,3959258.0,9742665.14,11100917.233103896
5473,5497679.08,3738643.0,9236322.08,10523983.476288298
5474,5255409.05,3533398.0,8788807.05,10014079.129047232
5475,5057801.82,3425219.0,8483020.82,9665662.38871237
5476,4894944.86,3384838.0,8279782.86,9434090.458427915
5477,4821534.99,3410444.0,8231978.99,9379622.117715543
5478,4859977.06,3507190.0,8367167.06,9533657.133228049
5479,4941353.899999999,3593794.0,8535147.899999999,9725056.650176577
5480,5024783.19,3768463.0,8793246.190000001,10019137.141923385
5481,5459254.37,4058211.0,9517465.370000001,10844321.735695265
5482,5960805.03,4327105.0,10287910.030000001,11722176.232431758
5483,6410913.73,4522364.0,10933277.73,12457516.441673376
5484,6713767.05,4699237.0,11413004.05,13004122.744603492
5485,6972925.22,4850093.0,11823018.219999999,13471298.13246351
5486,7255912.27,4946608.0,12202520.27,13903707.62065857
5487,7389814.729999999,5081299.0,12471113.729999999,14209746.44329771
5488,7628507.65,5148116.0,12776623.65,14557848.352485592
5489,7801881.43,5177178.0,12979059.43,14788506.268621136
5490,7882220.82,5095038.0,12977258.82,14786454.630564006
5491,7681959.14,4940029.0,12621988.14,14381654.675176386
5492,7307352.37,4876482.0,12183834.370000001,13882416.667275148
5493,7157882.38,4804137.0,11962019.379999999,13629677.831477309
5494,7010689.83,4565091.0,11575780.83,13189592.689047374
5495,6567967.45,4192080.0,10760047.45,12260135.645667959
5496,6093126.65,3866078.0,9959204.65,11347645.119535891
5497,5689405.07,3624834.0,9314239.07,10612763.090963896
5498,5356564.24,3475591.0,8832155.24,10063470.610995963
5499,5103509.75,3368574.0,8472083.75,9653200.55130977
5500,4910000.33,3311079.0,8221079.33,9367202.905745279
5501,4777028.3,3337229.0,8114257.3,9245488.51890532
5502,4722421.97,3393705.0,8116126.97,9247618.84480947
5503,4742750.37,3470834.0,8213584.37,9358663.052488511
5504,4739129.28,3690820.0,8429949.280000001,9605191.99744802
5505,5077001.57,4025701.0,9102702.57,10371735.698095862
5506,5707205.5,4279837.0,9987042.5,11379363.921768844
5507,6298252.63,4479534.0,10777786.629999999,12280347.894178342
5508,6850512.41,4524734.0,11375246.41,12961101.206807178
5509,7282061.5,4495344.0,11777405.5,13419326.41607783
5510,7285701.649999999,4536977.0,11822678.649999999,13470911.222063666
5511,6953585.72,4750805.0,11704390.719999999,13336132.442157332
5512,6980225.9,4954279.0,11934504.9,13598327.481157059
5513,7190170.04,5055544.0,12245714.04,13952923.154484844
5514,7215575.7,5034615.0,12250190.7,13958023.918128738
5515,7171490.41,4884044.0,12055534.41,13736230.052370043
5516,6935853.02,4795788.0,11731641.02,13367181.7824077
5517,6710193.2700000005,4699590.0,11409783.27,13000452.946689649
5518,6316261.03,4482024.0,10798285.030000001,12303704.033236928
5519,5920061.71,4148393.0,10068454.71,11472126.034803357
5520,5583043.95,3919077.0,9502120.95,10826838.107348986
5521,5191328.67,3744416.0,8935744.67,10181501.732062945
5522,4959225.0,3606505.0,8565730.0,9759902.285948323
5523,4801168.16,3563556.0,8364724.16,9530873.661732411
5524,4711868.98,3556601.0,8268469.98,9421200.418306097
5525,4741153.55,3700800.0,8441953.55,9618869.816176154
5526,5039852.66,3993437.0,9033289.66,10292645.740907937
5527,5408251.68,4191520.0,9599771.68,10938102.597702
5528,5683764.29,4471934.0,10155698.29,11571532.485377481
5529,6074555.45,4801280.0,10875835.45,12392065.973367453
5530,6522080.67,5050119.0,11572199.67,13185512.269553607
5531,6924600.3100000005,5258024.0,12182624.31,13881037.909438962
5532,7245909.5,5454723.0,12700632.5,14471263.06453035
5533,7543449.89,5629757.0,13173206.89,15009720.366971781
5534,7820624.649999999,5796506.0,13617130.649999999,15515532.77525581
5535,8091930.17,5967212.0,14059142.17,16019166.352833379
5536,8276975.57,6039076.0,14316051.57,16311892.208112685
5537,8388964.19,6019915.0,14408879.19,16417661.185261993
5538,8397048.540000001,5936516.0,14333564.540000001,16331846.710056681
5539,8295367.78,5734500.0,14029867.780000001,15985810.738556402
5540,8014875.92,5587060.0,13601935.92,15498219.705609515
5541,7652985.02,5429379.0,13082364.02,14906212.83935007
5542,7390216.2,5063090.0,12453306.2,14189456.315923383
5543,6867039.24,4646440.0,11513479.24,13118605.460794883
5544,6361910.05,4285721.0,10647631.05,12132046.96211874
5545,5817813.54,4084741.0,9902554.54,11283097.259856887
5546,5498688.67,3909808.0,9408496.67,10720161.40560935
5547,5246234.2,3817834.0,9064068.2,10327715.20292742
5548,5131613.12,3805850.0,8937463.120000001,10183459.755965555
5549,5149130.35,3941023.0,9090153.35,10357436.956369836
5550,5381215.24,4177333.0,9558548.24,10891132.083070949
5551,5787553.02,4435769.0,10223322.02,11648583.827996425
5552,6049261.61,4656708.0,10705969.61,12198518.663316758
5553,6480331.69,4943939.0,11424270.690000001,13016960.098278072
5554,6988113.52,5208242.0,12196355.52,13896683.42568426
5555,7535331.34,5457042.0,12992373.34,14803676.307910714
5556,7919648.2,5701720.0,13621368.2,15520361.093908373
5557,8281563.06,5928135.0,14209698.059999999,16190711.658951359
5558,8678719.82,6131245.0,14809964.82,16874663.280483067
5559,9002471.93,6148509.0,15150980.93,17263221.396549556
5560,9064711.45,6033288.0,15097999.45,17202853.620800737
5561,9033834.09,5894077.0,14927911.09,17009052.768616837
5562,8822818.82,5670028.0,14492846.82,16513334.976518858
5563,8496150.65,5448047.0,13944197.65,15888197.097030869
5564,8172435.88,5357371.0,13529806.879999999,15416034.95517035
5565,7793116.819999999,5295574.0,13088690.82,14913421.6761664
5566,7287456.29,4934275.0,12221731.29,13925596.902484333
5567,6754351.510000001,4546113.0,11300464.510000002,12875893.753763765
5568,6349882.42,4246558.0,10596440.42,12073719.703758255
5569,5836060.61,4050126.0,9886186.61,11264447.431129709
5570,5531054.1,3879030.0,9410084.1,10721970.143648697
5571,5304470.42,3787567.0,9092037.42,10359583.68981811
5572,5108188.66,3797787.0,8905975.66,10147582.54143361
5573,5094054.8,3954563.0,9048617.8,10310110.819614053
5574,5311450.63,4213083.0,9524533.629999999,10852375.401516119
5575,5727450.350000001,4427054.0,10154504.350000001,11570172.094875416
5576,5953153.93,4625178.0,10578331.93,12053086.658711765
5577,6391087.34,4883498.0,11274585.34,12846406.69656707
5578,6823382.4,5147115.0,11970497.4,13639337.795867773
5579,7336636.49,5414811.0,12751447.49,14529162.31387179
5580,7810256.79,5643476.0,13453732.79,15329355.164318616
5581,8216278.21,5901901.0,14118179.21,16086433.911074372
5582,8568807.31,6030988.0,14599795.31,16635193.453499772
5583,8803028.68,6160327.0,14963355.68,17049438.78766781
5584,8924881.35,6147529.0,15072410.35,17173697.073070966
5585,8957435.43,6030935.0,14988370.43,17077940.91366378
5586,8793175.41,5810466.0,14603641.41,16639575.74901714
5587,8415547.29,5579480.0,13995027.29,15946113.038769625
5588,7988711.659999999,5366276.0,13354987.66,15216843.70061228
5589,7715594.95,5266436.0,12982030.95,14791892.056503866
5590,7464942.82,4876886.0,12341828.82,14062437.563768748
5591,6906929.9,4472131.0,11379060.9,12965447.485486371
5592,6348745.55,4134614.0,10483359.55,11944873.914594924
5593,5910585.5,3931997.0,9842582.5,11214764.350660708
5594,5525630.82,3771670.0,9297300.82,10593463.43233644
5595,5224963.06,3658255.0,8883218.059999999,10121652.241008228
5596,4998905.17,3644222.0,8643127.17,9848089.61106935
5597,4979852.61,3752208.0,8732060.61,9949421.509734523
5598,5108912.49,3998689.0,9107601.49,10377317.590182897
5599,5464495.18,4215565.0,9680060.18,11029584.341194425
5600,5565482.44,4338684.0,9904166.440000001,11284933.879327117
5601,5721581.22,4492514.0,10214095.219999999,11638070.69409984
5602,5914266.489999999,4648208.0,10562474.489999998,12035018.488817861
5603,6128419.149999999,4737610.0,10866029.149999999,12380892.54976121
5604,6424386.22,4822120.0,11246506.219999999,12814412.988211164
5605,6688919.99,4917301.0,11606220.99,13224276.596568232
5606,6918061.51,5031809.0,11949870.51,13615835.253660277
5607,7067710.64,5060963.0,12128673.64,13819565.826211795
5608,7142914.53,5046293.0,12189207.530000001,13888538.914481955
5609,7123220.56,4963069.0,12086289.559999999,13771272.863524456
5610,6980428.48,4846009.0,11826437.48,13475194.081027176
5611,6720873.399999999,4655786.0,11376659.399999999,12962711.185680082
5612,6312376.44,4583212.0,10895588.440000001,12414572.782741006
5613,6140328.58,4500720.0,10641048.58,12124546.811635336
5614,5967478.81,4253055.0,10220533.809999999,11645406.90587155
5615,5534116.41,3946932.0,9481048.41,10802827.78583328
5616,5097031.8,3686303.0,8783334.8,10007843.97742743
5617,4716283.46,3529953.0,8246236.46,9395867.261333756
5618,4553394.01,3405042.0,7958436.01,9067943.74870238
5619,4385739.01,3342548.0,7728287.01,8805709.035349436
5620,4329380.32,3362045.0,7691425.32,8763708.354439003
5621,4363232.19,3474865.0,7838097.19,8930828.158506762
5622,4548284.34,3670615.0,8218899.34,9364718.997265283
5623,4864458.1,3860020.0,8724478.1,9940781.900888316
5624,5065570.18,4012105.0,9077675.18,10343219.169922277
5625,5334470.94,4167538.0,9502008.940000001,10826710.481722796
5626,5599235.05,4331979.0,9931214.05,11315752.27199983
5627,5830071.72,4401919.0,10231990.719999999,11658461.055616977
5628,5940448.33,4435160.0,10375608.33,11822100.796788068
5629,6085270.3,4503050.0,10588320.3,12064467.535204008
5630,6186395.21,4566527.0,10752922.21,12252017.056106543
5631,6236697.739999999,4555799.0,10792496.739999998,12297108.781600144
5632,6246176.0,4514797.0,10760973.0,12261190.229172315
5633,6227031.4,4532122.0,10759153.4,12259116.953666374
5634,6167833.29,4444888.0,10612721.29,12092270.335208256
5635,5944044.99,4327331.0,10271375.99,11703337.135846648
5636,5638753.99,4289560.0,9928313.99,11312447.906554807
5637,5530196.2,4252660.0,9782856.2,11146711.440762633
5638,5420393.25,4030417.0,9450810.25,10768374.039695255
5639,5095603.510000001,3754297.0,8849900.510000002,10083689.798530217
5640,4730147.24,3482637.0,8212784.24,9357751.374135813
