Hour,DTE 2019 kWh
549,5812735.27
550,5606836.03
551,5304204.6899999995
552,5022846.28
553,4853245.890000001
554,4764300.4399999995
555,4696985.17
556,4688468.0600000005
557,4742641.7700000005
558,4984533.27
559,5457961.21
560,5781214.32
561,5892955.62
562,5960443.529999999
563,6055788.75
564,6091147.9
565,6053191.02
566,6068377.96
567,5998512.2299999995
568,5928695.47
569,5874905.1
570,6024600.06
571,6146290.06
572,6123259.18
573,6055286.22
574,5845084.46
575,5537606.93
576,5269213.25
577,5055035.68
578,4955487.9799999995
579,4945144.79
580,4948063.49
581,5033503.2700000005
582,5283388.08
583,5740514.82
584,6084090.61
585,6099229.74
586,6166087.48
587,6249006.07
588,6287672.0
589,6234429.58
590,6226866.13
591,6147850.5600000005
592,6099908.36
593,6088890.03
594,6232058.279999999
595,6389661.11
596,6339657.53
597,6213617.9799999995
598,6019823.62
599,5781461.100000001
600,5465484.430000001
601,5240075.85
602,5120582.54
603,5024953.76
604,4977663.07
605,4997961.11
606,5095499.39
607,5250299.97
608,5471797.67
609,5578970.41
610,5620818.7
611,5675311.06
612,5575919.97
613,5574818.8
614,5507420.82
615,5428141.62
616,5340885.9
617,5444734.03
618,5652837.34
619,5844034.31
620,5783489.6
621,5668238.17
622,5521963.17
623,5284650.79
624,5043460.86
625,4821856.9
626,4661857.14
627,4590616.9799999995
628,4586089.71
629,4611074.97
630,4671162.72
631,4798666.7
632,4951868.18
633,5028101.91
634,5130849.899999999
635,5172732.22
636,5197689.81
637,5249623.15
638,5281514.2
639,5249841.81
640,5279478.2700000005
641,5356821.32
642,5602607.03
643,5877345.09
644,5858121.33
645,5760923.32
646,5623227.82
647,5425097.640000001
648,5242945.66
649,5111300.45
650,5027574.05
651,4968822.96
652,4969721.26
653,5033503.31
654,5276321.36
655,5640151.95
656,5965326.43
657,6156802.71
658,6270977.44
659,6343140.22
660,6412111.140000001
661,6429843.600000001
662,6430026.6
663,6306758.87
664,6219747.630000001
665,6134163.4
666,6241675.91
667,6347100.37
668,6161322.3100000005
669,5955764.63
670,5694567.62
671,5403806.9399999995
672,5138029.28
673,5044971.64
674,4976675.12
675,4959975.49
676,4950405.65
677,5032347.03
678,5281586.19
679,5688490.69
680,6000954.6
681,6073831.96
682,6147907.56
683,6190984.95
684,6192806.59
685,6178343.7299999995
686,6232382.05
687,6230370.3100000005
688,6202776.84
689,6214166.24
690,6372207.61
691,6636435.16
692,6656904.36
693,6527296.53
694,6376718.6
695,6090659.67
696,5846509.7
697,5643510.399999999
698,5535688.82
699,5462590.92
700,5442022.75
701,5506863.57
702,5736418.61
703,6048294.9799999995
704,6334256.17
705,6345508.71
706,6326013.7
707,6410541.76
708,6489022.75
709,6531393.279999999
710,6571835.19
711,6554429.1899999995
712,6514155.51
713,6511931.149999999
714,6683445.55
715,6929178.57
716,6854633.83
717,6719049.5
718,6501038.08
719,6139979.78
720,5872099.58
721,5694771.24
722,5600071.94
723,5540188.91
724,5484577.74
725,5528862.01
726,5747288.69
727,6086305.37
728,6375925.17
729,6449768.5600000005
730,6561991.65
731,6603316.12
732,6592664.12
733,6578895.41
734,6517201.26
735,6435639.53
736,6395902.29
737,6366240.62
738,6567329.38
739,6798476.07
740,6764030.76
741,6671295.91
742,6414556.71
743,6106456.81
744,5815909.04
745,5606546.67
746,5519370.46
747,5446435.58
748,5416334.34
749,5444996.15
750,5615769.95
751,5997435.6899999995
752,6281487.29
753,6303044.11
754,6361256.08
755,6377685.99
756,6302501.3
757,6229771.0
758,6166792.43
759,6072855.81
760,5962265.03
761,5929149.49
762,6023600.7
763,6281635.16
764,6253057.17
765,6114816.340000001
766,5941771.649999999
767,5709319.9
768,5410200.89
769,5221678.27
770,5082706.46
771,4961463.11
772,4914439.96
773,4912060.64
774,4979657.17
775,5160678.89
776,5314379.88
777,5391770.34
778,5462577.25
779,5523237.51
780,5420047.7
781,5323259.41
782,5224814.47
783,5115589.69
784,4996048.24
785,5007160.51
786,5124803.85
787,5319663.28
788,5289306.83
789,5192484.300000001
790,4993787.42
791,4722737.59
792,4520234.13
793,4332900.86
794,4213189.83
795,4178208.24
796,4153994.56
797,4128038.3
798,4197085.85
799,4270848.63
800,4414680.14
801,4463757.92
802,4562396.7
803,4642116.89
804,4656370.9
805,4650186.13
806,4660010.9
807,4628532.850000001
808,4630692.49
809,4697224.3100000005
810,4875524.55
811,5051834.78
812,4953382.75
813,4890795.3100000005
814,4798281.22
815,4606110.34
816,4415248.11
817,4231500.01
818,4121206.8
819,4084458.77
820,4075838.25
821,4161444.16
822,4404926.4799999995
823,4855824.640000001
824,5191204.29
825,5260220.27
826,5352625.4799999995
827,5411432.510000001
828,5404564.28
829,5416082.92
830,5440539.03
831,5444901.31
832,5421165.45
833,5476525.2299999995
834,5607026.04
835,5688903.83
836,5580931.57
837,5465076.89
838,5253728.97
839,4930298.0200000005
840,4667715.05
841,4504007.08
842,4387853.19
843,4296269.69
844,4263528.53
845,4358056.78
846,4617206.03
847,5177714.36
848,5562136.41
849,5641619.66
