Timestamp,Hour,DTE Res kWh,DTE Com kWh,Ann Arbor Res kWh,Ann Arbor Com kWh
2019-08-07 02:00:00,5235.0,1629516.7,2447979.56,123838.69210007919,96302.35234434284
2019-08-07 03:00:00,5236.0,1514636.65,2414308.41,115108.13098315925,94977.74530753441
2019-08-07 04:00:00,5237.0,1452591.03,2471819.53,110392.83814121506,97240.20543279695
2019-08-07 05:00:00,5238.0,1451142.88,2610974.24,110282.78280887956,102714.48558274841
2019-08-07 06:00:00,5239.0,1492403.7,2704317.42,113418.48923261662,106386.56191712001
2019-08-07 07:00:00,5240.0,1552795.82,2775240.87,118008.1207190267,109176.65672958503
2019-08-07 08:00:00,5241.0,1691965.37,2778750.73,128584.6156099085,109314.73295371792
2019-08-07 09:00:00,5242.0,1904860.42,2955229.2800000003,144764.0414154746,116257.31522892235
2019-08-07 10:00:00,5243.0,2214640.37,3000870.49,168306.4474839905,118052.81873665676
2019-08-07 11:00:00,5244.0,2519350.27,2960506.28,191463.54399361566,116464.90990071816
2019-08-07 12:00:00,5245.0,2800768.03,2939604.15,212850.50328782477,115642.63004148305
2019-08-07 13:00:00,5246.0,3027049.55,2971015.18,230047.26321254228,116878.32503174627
2019-08-07 14:00:00,5247.0,3293731.71,2901916.45,250314.35829713027,114160.0138367759
2019-08-07 15:00:00,5248.0,3646924.66,2859243.78,277156.0304241902,112481.2912816685
2019-08-07 16:00:00,5249.0,4006861.6,2819784.82,304510.22684826166,110928.99455045669
2019-08-07 17:00:00,5250.0,4274125.39,2796532.87,324821.5241791268,110014.27388931153
2019-08-07 18:00:00,5251.0,4319644.53,2759941.7800000003,328280.8509617983,108574.79780077608
2019-08-07 19:00:00,5252.0,4104101.62,2754925.14,311900.1952337256,108377.44556762886
2019-08-07 20:00:00,5253.0,3756014.35,2711487.04,285446.54044547636,106668.61136013703
2019-08-07 21:00:00,5254.0,3548207.79,2658410.17,269653.82558700535,104580.59252223672
2019-08-07 22:00:00,5255.0,3198732.23,2542646.4,243094.66465828163,100026.5008339673
2019-08-07 23:00:00,5256.0,2720679.49,2504105.12,206763.99920609008,98510.30519777417
2019-08-08 00:00:00,5257.0,2296584.97,2502929.16,174534.00691229472,98464.04349031823
2019-08-08 01:00:00,5258.0,1964893.11,2436811.77,149326.35723147672,95863.01679389093
2019-08-08 02:00:00,5259.0,1739652.77,2412725.97,132208.72406222034,94915.49287008196
2019-08-08 03:00:00,5260.0,1604642.56,2416556.97,121948.32732829486,95066.20258917422
2019-08-08 04:00:00,5261.0,1544117.19,2494676.95,117348.56921616667,98139.4054712657
2019-08-08 05:00:00,5262.0,1548432.1,2589057.52,117676.49025614715,101852.29223515677
